sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.863;8.453;2.033;0.39251;-0.6432;0.35039;0.45614;0.17544;-0.08772;9;2020-06-05 21:54:39:774
-2.51;8.205;0.865;0.9224;-0.92628;-0.13935;1.03509;0.68421;-0.24561;109;2020-06-05 21:54:39:874
-2.657;8.008;-1.019;1.33327;-0.88415;0.06625;1.66667;1.61404;-0.73684;209;2020-06-05 21:54:39:974
-2.886;7.466;-2.318;1.23682;-0.9038;0.70182;2.21053;2.03509;-0.66667;309;2020-06-05 21:54:40:074
-1.835;5.575;-6.31;0.68638;-0.80429;0.6984;3.47368;3.82456;-0.01754;409;2020-06-05 21:54:40:174
-0.906;5.243;-8.193;0.03119;0.16616;0.14473;1.7193;0.82456;-0.59649;509;2020-06-05 21:54:40:274
-0.277;2.965;-9.24;-0.74015;0.04413;0.1101;1.89474;1.45614;0.21053;609;2020-06-05 21:54:40:374
0.612;1.857;-9.174;-0.59339;0.05699;0.39038;1.21053;1.03509;0.21053;709;2020-06-05 21:54:40:474
1.685;-0.392;-12.565;-0.09198;-1.19715;-2.95436;0.82456;1.15789;0.0;809;2020-06-05 21:54:40:574
1.103;1.477;-7.928;-1.05678;1.22457;1.63453;0.85965;-0.80702;-0.47368;909;2020-06-05 21:54:40:674
2.527;0.356;-11.052;1.25227;0.36195;-1.32855;0.14035;0.12281;0.05263;1009;2020-06-05 21:54:40:774
1.526;0.7;-10.247;-0.85713;0.25985;-0.74451;-0.91228;2.21053;0.12281;1109;2020-06-05 21:54:40:874
1.476;-0.604;-14.894;-0.32891;-1.35836;-5.28444;-0.50877;0.78947;-0.2807;1209;2020-06-05 21:54:40:974
1.586;0.994;-8.666;-0.74063;-0.09916;0.79773;0.5614;-2.38596;0.0;1309;2020-06-05 21:54:41:074
2.391;0.756;-11.098;0.42684;0.15428;-1.50892;0.24561;2.12281;-0.35088;1409;2020-06-05 21:54:41:174
1.473;0.292;-8.135;-1.59416;-0.12395;1.17037;0.50877;0.10526;-0.26316;1509;2020-06-05 21:54:41:274
2.473;-0.325;-12.886;0.93168;-0.41754;-3.20168;-0.49123;1.84211;-0.57895;1609;2020-06-05 21:54:41:374
0.881;0.137;-6.754;-1.92963;-0.22708;2.63419;0.42105;-0.15789;-0.21053;1709;2020-06-05 21:54:41:474
2.403;-0.441;-10.51;0.35969;-0.38353;-0.91875;-0.29825;1.0;-0.05263;1809;2020-06-05 21:54:41:574
1.879;-0.184;-8.925;-0.54272;-0.07858;0.57734;0.22807;-0.33333;-0.01754;1909;2020-06-05 21:54:41:674
2.32;-0.22;-11.874;0.80223;-0.10426;-2.1862;-0.36842;1.19298;-0.05263;2009;2020-06-05 21:54:41:774
1.412;0.102;-7.314;-1.45418;-0.1955;2.05974;-0.29825;0.10526;0.24561;2109;2020-06-05 21:54:41:874
2.632;-0.208;-11.347;1.12923;-0.10156;-1.65676;0.17544;0.68421;0.50877;2208;2020-06-05 21:54:41:973
1.449;-0.122;-8.843;-0.7788;0.03394;0.70597;0.08772;0.42105;-0.08772;2309;2020-06-05 21:54:42:074
2.079;-0.314;-10.163;0.10921;-0.06933;-0.55933;0.07018;-0.01754;-0.22807;2409;2020-06-05 21:54:42:174
1.745;-0.408;-8.34;-0.41587;-0.26915;1.22461;-0.14035;0.05263;0.19298;2509;2020-06-05 21:54:42:274
2.281;0.02;-11.969;0.76124;0.32409;-2.2856;-0.21053;0.80702;0.03509;2609;2020-06-05 21:54:42:374
1.644;0.063;-9.502;-0.76029;0.19283;0.00447;0.0;0.26316;0.0;2709;2020-06-05 21:54:42:474
1.824;-0.258;-9.538;-0.16552;-0.07099;0.0629;0.07018;-0.64912;-0.05263;2809;2020-06-05 21:54:42:574
1.999;-0.234;-9.642;0.08375;-0.08262;-0.02539;-0.05263;0.15789;0.07018;2909;2020-06-05 21:54:42:674
1.956;-0.08;-10.625;0.08587;0.06304;-0.99938;-0.05263;0.66667;0.12281;3008;2020-06-05 21:54:42:773
1.934;-0.231;-9.553;-0.09047;-0.12753;0.04186;-0.05263;-0.45614;0.10526;3109;2020-06-05 21:54:42:874
2.244;0.25;-10.333;0.66784;0.42173;-0.65536;-0.17544;-0.19298;-0.07018;3209;2020-06-05 21:54:42:974
1.892;0.088;-9.657;-0.23028;0.11493;-0.08279;-0.05263;0.7193;0.01754;3309;2020-06-05 21:54:43:074
2.401;-0.137;-9.416;0.34778;-0.01666;0.17255;0.35088;-0.33333;-0.40351;3409;2020-06-05 21:54:43:174
1.909;-0.105;-9.621;-0.04949;-0.09008;-0.01191;-0.35088;0.10526;0.0;3509;2020-06-05 21:54:43:274
2.126;-0.016;-10.346;0.32068;-0.04963;-0.70701;-0.05263;-0.12281;-0.08772;3609;2020-06-05 21:54:43:374
2.254;0.015;-10.372;0.19799;-0.1716;-0.78511;-0.2807;0.68421;-0.17544;3709;2020-06-05 21:54:43:474
1.886;0.171;-10.961;0.18102;0.05749;-1.30437;0.14035;-0.91228;0.08772;3809;2020-06-05 21:54:43:574
1.93;-0.082;-9.609;0.02972;-0.1017;0.01175;0.24561;0.85965;0.07018;3909;2020-06-05 21:54:43:674
2.029;-0.429;-8.773;-0.17753;-0.21945;0.77989;0.29825;-0.4386;0.19298;4009;2020-06-05 21:54:43:774
2.165;0.055;-10.175;0.17154;0.28296;-0.5758;-0.10526;0.0;-0.12281;4109;2020-06-05 21:54:43:874
1.824;-0.07;-10.305;-0.01902;0.12019;-0.67497;-0.07018;0.19298;0.03509;4209;2020-06-05 21:54:43:974
2.065;-0.028;-9.756;-0.14091;0.03868;-0.2009;-0.17544;0.24561;-0.12281;4309;2020-06-05 21:54:44:074
1.992;0.055;-9.878;0.06263;0.03071;-0.26305;-0.05263;-0.40351;-0.07018;4409;2020-06-05 21:54:44:174
2.053;0.128;-9.844;0.30271;0.15359;-0.19484;0.21053;-0.22807;0.10526;4509;2020-06-05 21:54:44:274
2.169;-0.126;-9.714;0.09289;-0.08441;-0.12972;-0.07018;0.35088;-0.08772;4609;2020-06-05 21:54:44:374
2.055;0.089;-9.614;-0.02612;0.09855;-0.03072;0.03509;-0.40351;0.07018;4709;2020-06-05 21:54:44:474
1.99;0.12;-10.136;0.25312;0.14816;-0.48442;0.0;0.03509;-0.10526;4809;2020-06-05 21:54:44:574
2.014;-0.068;-9.944;0.09311;-0.00506;-0.32752;0.07018;0.10526;-0.08772;4909;2020-06-05 21:54:44:674
1.947;-0.184;-9.318;-0.13944;-0.04144;0.26307;0.12281;-0.21053;-0.12281;5009;2020-06-05 21:54:44:774
1.895;-0.215;-9.698;0.22507;0.05134;-0.03825;0.17544;-0.63158;0.0;5109;2020-06-05 21:54:44:874
2.063;-0.047;-9.84;0.12735;0.12797;-0.22787;-0.12281;0.57895;-0.07018;5209;2020-06-05 21:54:44:974
2.004;-0.02;-9.789;3.8E-4;0.15139;-0.19074;0.05263;-0.2807;0.0;5309;2020-06-05 21:54:45:074
2.055;-0.356;-10.344;0.41947;-0.23967;-0.6754;-0.08772;-0.14035;0.0;5409;2020-06-05 21:54:45:174
1.881;-0.241;-10.21;0.14151;-0.17724;-0.55907;0.01754;0.26316;0.0;5509;2020-06-05 21:54:45:274
1.814;-0.009;-9.718;-0.13191;0.04907;-0.10653;0.10526;-0.01754;-0.03509;5609;2020-06-05 21:54:45:374
1.732;0.057;-9.587;-0.03094;0.1531;0.05941;0.08772;-0.38596;0.0;5709;2020-06-05 21:54:45:474
2.015;0.021;-10.328;0.52006;0.1826;-0.63731;-0.05263;0.36842;0.0;5809;2020-06-05 21:54:45:574
1.836;0.068;-9.959;-0.03155;0.149;-0.33216;-0.08772;0.33333;0.07018;5909;2020-06-05 21:54:45:674
1.862;0.022;-10.04;0.05396;0.15828;-0.40242;0.10526;-0.35088;0.08772;6009;2020-06-05 21:54:45:774
2.086;-0.213;-10.46;0.55026;-0.01741;-0.77632;0.05263;-0.12281;-0.01754;6109;2020-06-05 21:54:45:874
1.933;-0.398;-9.812;0.02695;-0.189;-0.19464;-0.07018;0.49123;0.0;6210;2020-06-05 21:54:45:975
1.796;-0.167;-9.999;-0.04053;0.06887;-0.36874;0.05263;-0.21053;0.0;6309;2020-06-05 21:54:46:074
1.958;-0.149;-10.16;0.41897;0.13055;-0.4789;0.0;-0.17544;0.05263;6409;2020-06-05 21:54:46:174
1.92;-0.037;-9.787;0.19964;0.19496;-0.13521;-0.05263;0.31579;0.01754;6509;2020-06-05 21:54:46:274
1.853;-0.209;-9.542;-0.0161;0.02038;0.08215;0.07018;-0.22807;0.01754;6609;2020-06-05 21:54:46:374
