sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.169;7.095;-5.875;-0.5103;0.152;1.0173;2.6316;4.1404;-1.614;12;2020-06-05 23:01:50:569
1.429;4.738;-7.55;0.0962;-0.2436;0.7913;2.1579;0.4561;-1.1579;111;2020-06-05 23:01:50:668
1.589;3.89;-8.806;0.0345;0.1938;0.1434;1.8421;1.0526;-0.8947;211;2020-06-05 23:01:50:768
2.02;2.547;-11.193;0.2143;-0.1219;-1.9309;0.6842;-0.1579;-0.8596;311;2020-06-05 23:01:50:868
2.292;2.801;-11.053;0.3328;0.2551;-1.7874;0.2281;0.1404;-0.0877;411;2020-06-05 23:01:50:968
2.023;2.503;-9.853;0.2423;0.1799;-0.4934;0.3684;-0.6491;-0.3684;511;2020-06-05 23:01:51:068
2.13;1.397;-10.633;0.763;-0.351;-1.0807;0.4561;0.4561;-0.4912;611;2020-06-05 23:01:51:168
1.092;1.116;-10.762;-0.4593;-0.2968;-1.1824;0.3333;0.2632;-0.1053;711;2020-06-05 23:01:51:268
1.746;0.854;-9.811;0.1541;-0.4565;-0.2236;-0.1579;-0.2807;0.0526;811;2020-06-05 23:01:51:368
1.735;0.951;-10.959;0.4402;-0.4126;-1.3343;-0.0175;-0.2807;-0.0526;911;2020-06-05 23:01:51:468
1.875;1.496;-9.772;-0.0589;-0.0059;-0.276;-0.0526;0.7018;0.0;1011;2020-06-05 23:01:51:568
2.284;1.149;-9.617;-9.0E-4;-0.0558;-0.1566;0.3333;0.1228;0.0351;1111;2020-06-05 23:01:51:668
2.312;0.814;-9.743;0.2358;-0.0637;-0.1989;0.614;-0.4737;-0.1228;1211;2020-06-05 23:01:51:768
1.438;0.123;-10.64;-0.7651;-0.2922;-1.093;0.193;0.7018;0.0351;1311;2020-06-05 23:01:51:868
2.763;-0.229;-9.853;-0.0953;-0.7326;-0.4857;-0.1754;0.1228;-0.2632;1411;2020-06-05 23:01:51:968
2.995;0.495;-10.454;0.5579;-0.2089;-0.9506;-0.1754;-0.8421;-0.0526;1511;2020-06-05 23:01:52:068
2.174;0.472;-9.936;-0.1304;-0.2356;-0.4302;0.1404;-0.0702;0.2105;1611;2020-06-05 23:01:52:168
1.992;0.441;-9.918;-0.376;-0.1839;-0.4221;0.0175;0.1404;0.3333;1711;2020-06-05 23:01:52:268
2.476;0.444;-9.513;-0.0639;-0.1144;-0.0574;-0.0526;-0.2105;0.1228;1811;2020-06-05 23:01:52:368
